"","Word","Freq"
"189599","protect_area",1091
"142897","mammal_speci",337
"131353","larg_mammal",186
"75082","ecosystem_servic",186
"223866","small_mammal",183
"131186","larg_carnivor",165
"242478","terrestri_mammal",163
"226922","speci_conserv",132
"129981","land_cover",121
"226453","spatial_tempor",120
"33861","carnivor_speci",120
"27660","bird_speci",110
"242400","terrestri_ecosystem",101
"242632","terrestri_vertebr",94
"75695","effect_conserv",91
"242482","terrestri_marin",88
"156191","natur_resourc",85
"240384","target_speci",84
"147006","medium_larg",84
"27557","bird_mammal",84
"26816","biolog_divers",81
"227399","speci_includ",80
"67792","direct_observ",80
"142073","male_femal",79
"51952","coral_reef",79
"28292","bodi_size",79
"223790","small_carnivor",77
"155950","nativ_speci",76
"142364","mammal_bird",76
"177380","plant_speci",75
"135779","line_transect",74
"157293","negat_impact",71
"80629","environment_variabl",71
"26426","biodivers_loss",71
"120270","individu_speci",70
"64765","detect_speci",70
"259803","vertebr_speci",69
"74243","ecolog_process",68
"250531","tree_speci",67
"161324","number_speci",67
"259357","veget_type",66
"228372","speci_use",66
"12616","anim_speci",65
"241786","tempor_overlap",64
"242438","terrestri_habitat",63
"108920","high_level",63
"88768","factor_influenc",63
"202056","remot_sens",62
"226382","spatial_pattern",60
"33532","carnivor_communiti",60
"228122","speci_show",59
"82686","estim_speci",59
"74859","ecosystem_function",59
"130799","landscap_scale",58
"67061","differ_speci",58
"41034","collect_data",58
"13435","apex_predat",58
"172079","pattern_speci",57
"93894","focal_speci",57
"12464","anim_movement",56
"237516","survey_conduct",55
"214741","secondari_forest",55
"144613","marin_protect",55
"94607","food_resourc",55
"80483","environment_condit",55
"264661","wide_rang",54
"12519","anim_popul",54
"151288","model_use",53
"143061","mammalian_speci",53
"227967","speci_rang",52
"227903","speci_present",52
"227777","speci_occurr",52
"220062","sign_survey",52
"144642","marin_terrestri",52
"131011","landus_chang",52
"118252","increas_number",52
"69044","distanc_sampl",52
"136689","live_trap",51
"116253","import_role",51
"100615","general_linear",51
"17780","artifici_nest",51
"10716","among_speci",51
"228174","speci_speci",50
"102064","global_biodivers",50
"18516","assess_effect",50
"6040","adult_male",50
"243065","test_whether",49
"227578","speci_mammal",49
"177743","play_import",49
"100438","gene_flow",49
"262223","water_sourc",48
"242592","terrestri_speci",48
"183758","presenc_absenc",48
"98990","function_divers",48
"42593","communiti_composit",48
"29995","buffer_zone",48
"16763","area_speci",48
"3715","across_site",48
"242334","terrestri_aquat",47
"218202","sex_ratio",47
"211158","sampl_method",47
"120151","individu_per",47
"100998","genet_divers",47
"78817","encount_rate",47
"260852","visit_rate",46
"255717","urgent_need",46
"237960","survey_site",46
"211266","sampl_site",46
"185342","prey_avail",46
"144560","marin_ecosystem",46
"131383","larg_number",46
"101302","geograph_rang",46
"92490","first_time",46
"91481","field_survey",46
"28266","bodi_mass",46
"6006","adult_femal",46
"237577","survey_effort",45
"144563","marin_environ",45
"143029","mammalian_carnivor",45
"137919","log_forest",45
"135816","linear_model",45
"242351","terrestri_biodivers",44
"227307","speci_group",44
"219465","show_signific",44
"190427","provid_inform",44
"151074","model_predict",44
"121695","inform_system",44
"121339","inform_conserv",44
"115286","imperfect_detect",44
"113411","identifi_area",44
"101280","geograph_inform",44
"88650","factor_affect",44
"33786","carnivor_popul",44
"190430","provid_insight",43
"176033","pitfal_trap",43
"108791","high_densiti",43
"249313","trap_detect",42
"227821","speci_particular",42
"226606","speci_across",42
"190416","provid_import",42
"65289","determin_whether",42
"3681","across_rang",42
"249571","trap_monitor",41
"240809","taxonom_group",41
"227027","speci_differ",41
"226017","space_time",41
"161173","number_individu",41
"134853","life_histori",41
"81992","estim_anim",41
"157259","negat_affect",40
"129954","land_chang",40
"42362","common_speci",40
"238248","surviv_rate",39
"226385","spatial_plan",39
"222877","six_speci",39
"155907","nativ_mammal",39
"151100","model_provid",39
"101266","geograph_distribut",39
"61940","densiti_individu",39
"262188","water_qualiti",38
"227776","speci_occur",38
"226378","spatial_overlap",38
"205135","resourc_avail",38
"177207","plant_communiti",38
"148224","method_provid",38
"147930","method_detect",38
"137080","local_communiti",38
"93042","five_speci",38
"29296","breed_season",38
"26297","biodivers_ecosystem",38
"259152","veget_cover",37
"241816","tempor_spatial",37
"238880","synthesi_applic",37
"184358","present_first",37
"147008","medium_larges",37
"104616","group_size",37
"66507","differ_among",37
"42929","communiti_structur",37
"16097","area_includ",37
"239709","take_account",36
"227901","speci_presenc",36
"140911","main_conclus",36
"109879","highlight_need",36
"106460","habitat_requir",36
"80519","environment_factor",36
"62784","deploy_trap",36
"58694","de_la",36
"56222","current_protect",36
"32236","canopi_cover",36
"227840","speci_persist",35
"227408","speci_individu",35
"184118","presenc_speci",35
"155965","nativ_veget",35
"150568","model_approach",35
"80477","environment_chang",35
"76174","effect_sampl",35
"51510","convent_biolog",35
"11038","amphibian_reptil",35
"256912","use_tool",34
"247330","total_speci",34
"244368","three_differ",34
"238011","survey_techniqu",34
"228224","speci_suggest",34
"220218","signific_effect",34
"200567","relat_high",34
"194202","rang_speci",34
"179780","popul_monitor",34
"175101","photograph_captur",34
"157262","negat_associ",34
"151180","model_select",34
"121675","inform_speci",34
"100009","gap_analysi",34
"94634","food_web",34
"75878","effect_habitat",34
"57485","data_obtain",34
"16092","area_import",34
"7589","agricultur_land",34
"254204","ungul_speci",33
"253428","understand_ecolog",33
"249295","trap_data",33
"242864","test_effect",33
"237457","survey_area",33
"226687","speci_area",33
"220279","signific_increas",33
"186319","prioriti_conserv",33
"157296","negat_influenc",33
"152139","monitor_popul",33
"148373","method_trap",33
"147051","mediums_mammal",33
"130458","landscap_connect",33
"99031","function_group",33
"57771","data_use",33
"31686","cameratrap_day",33
"259036","vascular_plant",32
"245986","time_period",32
"215859","select_log",32
"207745","rich_composit",32
"190345","provid_evid",32
"176887","plan_process",32
"172936","per_day",32
"170442","particular_import",32
"169096","paramet_estim",32
"168919","paper_present",32
"167081","outsid_protect",32
"159916","nontarget_speci",32
"154552","multipl_speci",32
"151191","model_show",32
"150526","model_account",32
"142337","mammal_assemblag",32
"138143","long_term",32
"130232","land_use",32
"105855","habitat_connect",32
"105744","habitat_area",32
"25970","bias_toward",32
"3726","across_speci",32
"259339","veget_structur",31
"249555","trap_method",31
"249308","trap_deploy",31
"247277","total_number",31
"237540","survey_data",31
"229306","spot_skunk",31
"220862","similar_speci",31
"211183","sampl_occas",31
"202008","remot_camera",31
"197678","record_trap",31
"196544","recent_year",31
"176274","place_trap",31
"175261","photograph_record",31
"168876","paper_describ",31
"156097","natur_histori",31
"148141","method_monitor",31
"144551","marin_conserv",31
"131412","larg_predat",31
"113746","identifi_prioriti",31
"62286","densiti_use",31
"57707","data_suggest",31
"22615","bait_station",31
"18460","assess_conserv",31
"12273","anim_densiti",31
"3596","across_landscap",31
"2699","account_imperfect",31
"262024","water_bodi",30
"249804","trap_set",30
"247136","total_area",30
"242356","terrestri_bird",30
"238798","sympatr_speci",30
"237243","surround_area",30
"236431","sunda_cloud",30
"236063","suitabl_model",30
"228313","speci_trap",30
"228055","speci_risk",30
"226769","speci_bird",30
"200583","relat_import",30
"186534","privat_land",30
"182085","precis_estim",30
"181386","potenti_predat",30
"180580","posit_relat",30
"180498","posit_effect",30
"177174","plant_anim",30
"159679","noninvas_genet",30
"142817","mammal_record",30
"96706","four_speci",30
"85752","exist_protect",30
"82193","estim_effect",30
"57684","data_speci",30
"26454","biodivers_monitor",30
"16801","area_suggest",30
"16435","area_pas",30
"16048","area_higher",30
"15029","aquat_ecosystem",30
"241810","tempor_segreg",29
"228214","speci_studi",29
"208621","river_basin",29
"193992","rang_map",29
"183164","predict_speci",29
"181264","potenti_impact",29
"129935","land_area",29
"123847","interact_speci",29
"117997","increas_detect",29
"115969","import_factor",29
"115802","import_area",29
"83891","even_though",29
"74193","ecolog_nich",29
"69297","distribut_across",29
"67760","direct_indirect",29
"67122","differ_type",29
"64826","detect_trap",29
"57344","data_indic",29
"48418","conserv_restor",29
"260099","viabl_popul",28
"253578","understand_speci",28
"249722","trap_provid",28
"244013","threat_speci",28
"241418","telemetri_data",28
"237834","survey_period",28
"237550","survey_design",28
"235808","suggest_speci",28
"228149","speci_small",28
"227526","speci_like",28
"227492","speci_larg",28
"218084","sever_speci",28
"200634","relat_low",28
"199803","region_scale",28
"186422","prioriti_site",28
"181171","potenti_distribut",28
"165120","open_area",28
"150566","model_appli",28
"131479","larg_terrestri",28
"103940","grid_cell",28
"92646","fish_speci",28
"90509","feed_site",28
"84704","examin_effect",28
"66852","differ_method",28
"56072","current_distribut",28
"24116","becom_increas",28
"18746","assess_potenti",28
"16614","area_requir",28
"16232","area_low",28
"262015","water_avail",27
"261553","vulner_speci",27
"256559","use_method",27
"250361","tree_cover",27
"242605","terrestri_system",27
"238050","survey_use",27
"233876","studi_speci",27
"231278","status_speci",27
"228131","speci_similar",27
"227937","speci_protect",27
"226704","speci_assemblag",27
"177034","plan_unit",27
"156282","natura_network",27
"156130","natur_mark",27
"155866","nativ_carnivor",27
"150887","model_includ",27
"149672","miner_lick",27
"144618","marin_reserv",27
"141628","major_threat",27
"138050","logist_regress",27
"132049","last_decad",27
"130849","landscap_structur",27
"125543","investig_effect",27
"101086","genet_structur",27
"92475","first_step",27
"69002","distanc_nearest",27
"64559","detect_method",27
"57563","data_provid",27
"37199","chang_speci",27
"29303","breed_success",27
"28233","bodi_condit",27
"7175","age_sex",27
"4914","ad_hoc",27
"249344","trap_effect",26
"247318","total_sampl",26
"242336","terrestri_area",26
"228138","speci_site",26
"228022","speci_repres",26
"228003","speci_region",26
"227342","speci_high",26
"226923","speci_consid",26
"226891","speci_compar",26
"223901","small_popul",26
"213919","sea_turtl",26
"203051","repres_speci",26
"186945","probabl_speci",26
"180531","posit_influenc",26
"180032","popul_speci",26
"176704","plan_implement",26
"173092","per_year",26
"171358","patch_size",26
"168173","pa_network",26
"161284","number_record",26
"151220","model_speci",26
"150820","model_framework",26
"139070","low_level",26
"131730","larges_mammal",26
"130465","landscap_context",26
"117455","includ_speci",26
"115937","import_ecolog",26
"109689","highest_number",26
"106018","habitat_featur",26
"99651","futur_research",26
"80540","environment_impact",26
"76277","effect_trap",26
"75756","effect_detect",26
"74333","ecolog_studi",26
"74276","ecolog_research",26
"73124","e_g",26
"72627","dung_beetl",26
"69091","distanc_water",26
"64845","detect_use",26
"43491","compar_speci",26
"33201","carbon_stock",26
"18611","assess_impact",26
"16539","area_provid",26
"15744","area_cover",26
"14592","approach_provid",26
"14412","approach_estim",26
"244887","throughout_year",25
"239083","system_gis",25
"238032","survey_trap",25
"236751","support_hypothesi",25
"227556","speci_low",25
"227532","speci_list",25
"227180","speci_extinct",25
"225830","sp_nov",25
"220311","signific_lower",25
"220283","signific_influenc",25
"203293","reproduct_success",25
"200812","relat_speci",25
"193597","random_encount",25
"176974","plan_speci",25
"165154","open_habitat",25
"162412","observ_trap",25
"157935","nest_site",25
"156054","natur_ecosystem",25
"150891","model_indic",25
"147808","method_assess",25
"145840","maximum_distanc",25
"135814","linear_mix",25
"108788","high_degre",25
"95523","forest_mammal",25
"57439","data_model",25
"26196","biodivers_assess",25
"18921","assess_whether",25
"16934","area_use",25
"7835","aim_determin",25
"263575","wet_dri",24
"258023","vari_across",24
"249679","trap_place",24
"248704","transect_survey",24
"245738","time_day",24
"230600","state_park",24
"227877","speci_popul",24
"222387","site_select",24
"222010","site_high",24
"221674","site_across",24
"200801","relat_small",24
"197457","record_obtain",24
"167897","p_>",24
"163926","occurr_speci",24
"159689","noninvas_method",24
"158336","network_protect",24
"153555","mountain_rang",24
"150574","model_assess",24
"147242","mele_mele",24
"144948","markresight_model",24
"138995","low_detect",24
"134003","less_like",24
"115149","impact_speci",24
"99615","futur_monitor",24
"94512","food_avail",24
"74826","ecosystem_engin",24
"68996","distanc_move",24
"67041","differ_signific",24
"65247","determin_speci",24
"41695","combin_data",24
"21670","avoid_area",24
"18903","assess_use",24
"16026","area_habitat",24
"15891","area_estim",24
"7869","aim_identifi",24
"256208","use_combin",23
"249471","trap_increas",23
"247862","track_survey",23
"245859","time_higher",23
"243815","threat_biodivers",23
"241831","tempor_variat",23
"232856","strong_influenc",23
"228027","speci_requir",23
"227373","speci_identif",23
"226366","spatial_model",23
"202607","report_first",23
"200040","regress_model",23
"198089","red_squirrel",23
"196381","recent_decad",23
"190548","provid_reliabl",23
"183066","predict_model",23
"179668","popul_increas",23
"170989","passiv_infrar",23
"157519","neof_nebulosa",23
"151239","model_suggest",23
"150773","model_evalu",23
"148347","method_survey",23
"145843","maximum_entropi",23
"143733","manag_unit",23
"142845","mammal_rich",23
"140224","m_m",23
"131444","larg_scale",23
"131310","larg_herbivor",23
"130551","landscap_featur",23
"128691","knowledg_gap",23
"116342","import_understand",23
"113602","identifi_import",23
"109890","highlight_potenti",23
"106810","hair_trap",23
"105921","habitat_differ",23
"105817","habitat_chang",23
"102079","global_climat",23
"95277","forest_ecosystem",23
"91910","find_highlight",23
"78796","encount_model",23
"78293","emphas_import",23
"74140","ecolog_inform",23
"69526","distribut_habitat",23
"66491","differ_activ",23
"60753","degre_c",23
"59294","decisionmak_process",23
"57212","data_estim",23
"51439","control_site",23
"23137","baselin_data",23
"17491","around_world",23
"16100","area_increas",23
"16078","area_identifi",23
"15808","area_differ",23
"13196","anthropogen_pressur",23
"11056","amphibian_speci",23
"7802","aim_assess",23
"7111","age_class",23
"6697","affect_speci",23
"1663","abund_divers",23
"265068","wild_popul",22
"258353","variabl_influenc",22
"251098","trophic_level",22
"249928","trap_use",22
"249740","trap_rate",22
"249347","trap_effort",22
"241783","tempor_nich",22
"228276","speci_terrestri",22
"227402","speci_increas",22
"227239","speci_forest",22
"226705","speci_assess",22
"225523","south_wale",22
"224436","social_group",22
"223855","small_isol",22
"218137","sex_age",22
"211321","sampl_use",22
"203392","reptil_speci",22
"203316","reptil_amphibian",22
"202067","remot_trap",22
"195350","rate_speci",22
"190402","provid_habitat",22
"189768","protect_land",22
"180581","posit_relationship",22
"179848","popul_paramet",22
"158441","neural_network",22
"153518","mountain_lion",22
"148392","method_use",22
"143280","manag_effort",22
"135655","limit_resourc",22
"134401","level_human",22
"130899","landscap_variabl",22
"125148","invas_mammal",22
"124729","interview_local",22
"123572","interact_among",22
"116285","import_speci",22
"114819","impact_climat",22
"110655","homerang_size",22
"109035","high_rate",22
"106262","habitat_model",22
"106101","habitat_high",22
"103855","green_infrastructur",22
"102227","global_scale",22
"99673","futur_studi",22
"95672","forest_plantat",22
"93384","fli_squirrel",22
"82587","estim_relat",22
"82541","estim_probabl",22
"82334","estim_individu",22
"76877","effort_requir",22
"76218","effect_speci",22
"61970","densiti_larg",22
"57416","data_manag",22
"57038","data_avail",22
"53795","cover_chang",22
"53105","count_data",22
"46929","confirm_presenc",22
"36974","chang_land",22
"29297","breed_site",22
"18782","assess_relat",22
"18591","assess_habitat",22
"260218","video_record",21
"256171","use_capturerecaptur",21
"249824","trap_site",21
"249220","trap_captur",21
"244575","three_site",21
"242405","terrestri_environ",21
"240861","tayassu_pecari",21
"238756","sympatr_carnivor",21
"234854","success_conserv",21
"233937","studi_use",21
"232891","strong_posit",21
"229706","squirrel_sciurus",21
"228037","speci_respons",21
"228036","speci_respond",21
"227771","speci_observ",21
"227581","speci_manag",21
"227082","speci_ecolog",21
"226981","speci_data",21
"226707","speci_associ",21
"221878","site_differ",21
"221541","singl_speci",21
"207793","rich_estim",21
"204629","reserv_system",21
"202901","repres_first",21
"202244","remov_rate",21
"196521","recent_studi",21
"189819","protect_natur",21
"182954","predict_distribut",21
"177483","plantat_forest",21
"175897","pine_forest",21
"171717","pattern_differ",21
"156932","need_consid",21
"153928","movement_pattern",21
"153049","mortal_rate",21
"152154","monitor_programm",21
"151149","model_reveal",21
"150729","model_develop",21
"132102","last_year",21
"132034","laser_scan",21
"131046","landus_plan",21
"130436","landscap_characterist",21
"120906","influenc_detect",21
"119779","individu_anim",21
"119688","indirect_effect",21
"116467","improv_conserv",21
"114960","impact_human",21
"114790","impact_assess",21
"112976","iberian_peninsula",21
"111382","human_develop",21
"109120","high_threaten",21
"108861","high_fragment",21
"105912","habitat_destruct",21
"105876","habitat_covari",21
"104870","growth_rate",21
"101601","giant_panda",21
"90617","feli_silvestri",21
"88703","factor_determin",21
"83236","european_hare",21
"75018","ecosystem_process",21
"74287","ecolog_role",21
"74130","ecolog_impact",21
"70032","disturb_forest",21
"67060","differ_spatial",21
"66817","differ_level",21
"66524","differ_area",21
"61633","densiti_abund",21
"60617","degrad_forest",21
"56562","d_gliroid",21
"55309","cross_structur",21
"53763","cover_area",21
"48326","conserv_planner",21
"46652","conduct_survey",21
"34010","carri_capac",21
"25500","best_model",21
"22630","bait_trap",21
"15042","aquat_habitat",21
"6535","affect_habitat",21
"3684","across_region",21
"3453","across_area",21
"2894","accur_estim",21
