nr,pdf available,TI,Authors,objective principal,other objective,general objective,general objective2,MultiObj,animal,kingdoms,mammals group,more then 1,technic,equipment,country,continent,Publication Year,Total Citations,Source Title
1,si,ESTIMATION OF TIGER DENSITIES IN INDIA USING PHOTOGRAPHIC CAPTURES AND RECAPTURES,Karanth KU; Nichols JD,density,,density,,,tiger,mammals,carnivore,,capture-recapture,ct,India,Asia,1998,466,ECOLOGY
2,si,"CROUCHING TIGERS, HIDDEN PREY: SUMATRAN TIGER AND PREY POPULATIONS IN A TROPICAL FOREST LANDSCAPE",O'Brien TG; Kinnaird MF; Wibisono HT,abundance ,hunting,abundance ,conservation,MultiObj,Sumatran tiger,mammals,carnivore,,,ct,Indonesia,Asia,2003,227,ANIMAL CONSERVATION
3,si,THE USE OF PHOTOGRAPHIC RATES TO ESTIMATE DENSITIES OF TIGERS AND OTHER CRYPTIC MAMMALS,"Carbone, C; Christie, S; Conforti, K; Coulson, T; Franklin, N; Ginsberg, JR; Griffiths, M; Holden, J; Kawanishi, K; Kinnaird, M; Laidlaw, R; Lynam, A; Macdonald, DW; Martyr, D; McDougal, C; Nath, L; O'Brien, T; Seidensticker, J; Smith, DJL; Sunquist, M; Tilson, R; Shahruddin, WNW",review,density,conservation,,MultiObj,tiger and others,mammals,,2,c-r,ct,Asia,Asia,2001,188,ANIMAL CONSERVATION
4,si,"CAMERA TRAP, LINE TRANSECT CENSUS AND TRACK SURVEYS: A COMPARATIVE EVALUATION","Silveira, L; Jacomo, ATA; Diniz, JAF",methodology,,methodology,,MultiObj,,,,,"track cencus-ct, direct obs",,Brazil,South America,2003,169,BIOLOGICAL CONSERVATION
5,si,THE USE OF CAMERA TRAPS FOR ESTIMATING JAGUAR PANTHERA ONCA ABUNDANCE AND DENSITY USING CAPTURE/RECAPTURE ANALYSIS,Silver SC; Ostro LET; Marsh LK; Maffei L; Noss AJ; Kelly MJ; Wallace RB; Gomez H; Ayala G,abundance ,density,abundance ,density,MultiObj,panthera onca,mammals,carnivore,,c-r,ct,Belize y Bolivia,Central America,2004,151,ORYX
6,si,ESTIMATING THE DENSITY OF A JAGUAR POPULATION IN THE BRAZILIAN PANTANAL USING CAMERA-TRAPS AND CAPTURE-RECAPTURE SAMPLING IN COMBINATION WITH GPS RADIO-TELEMETRY,Soisalo Marianne K.; Cavalcanti Sandra M. C.,density,,density,,,panthera onca,mammals,carnivore,,c-r,ct and radiotelemtry,Brazil,South America,2006,150,BIOLOGICAL CONSERVATION
7,"si, pero foto",COMPARING THE EFFECTS OF LANDSCAPE FRAGMENTATION BY FORESTRY AND AGRICULTURE ON PREDATION OF ARTIFICIAL NESTS,"Bayne, EM; Hobson, KA",nest predation,fragmentation,nest predation,conservation,MultiObj,birds,birds,,,,remote camera and live trapping and surveys,Canada,North America,1997,149,CONSERVATION BIOLOGY
8,si,AN EVALUATION OF CAMERA TRAPS FOR INVENTORYING LARGE- AND MEDIUM-SIZED TERRESTRIAL RAINFOREST MAMMALS,Tobler M. W.; Carrillo-Percastegui S. E.; Pitman R. Leite; Mares R.; Powell G.,inventory,richness,methodology,,MultiObj,mammals,mammals,,,jackknife estimators,ct,Peru,South America,2008,132,ANIMAL CONSERVATION
9,si,ESTIMATION OF OCELOT DENSITY IN THE PANTANAL USING CAPTURE-RECAPTURE ANALYSIS OF CAMERA-TRAPPING DATA,Trolle M; Kery M,density,,density,,,ocelot,mammals,carnivore,,c-r,ct,Brazil,South America,2003,132,JOURNAL OF MAMMALOGY
10,si,ASSESSING TIGER POPULATION DYNAMICS USING PHOTOGRAPHIC CAPTURE-RECAPTURE SAMPLING,Karanth K. Ullas; Nichols James D.; Kumar N. Samba; Hines James E.,density,abundance,density,abundance,MultiObj,tiger,mammals,carnivore,,c-r,ct,India,Asia,2006,128,ECOLOGY
11,si,DEFORESTATION TRENDS IN A TROPICAL LANDSCAPE AND IMPLICATIONS FOR ENDANGERED LARGE MAMMALS,Kinnaird MF; Sanderson EW; O'Brien TG; Wibisono HT; Woolmer G,distribution,relative abundance deforestation,conservation,,MultiObj,mammals,mammals,,,,ct,Indonesia,Asia,2003,123,CONSERVATION BIOLOGY
12,si,CONSERVATION STATUS OF TIGERS IN A PRIMARY RAINFOREST OF PENINSULAR MALAYSIA,Kawanishi K; Sunquist ME,density,,conservation,,,tiger,mammals,carnivore,,,ct,Malaysia,Asia,2004,117,BIOLOGICAL CONSERVATION
13,si,ESTIMATING ANIMAL DENSITY USING CAMERA TRAPS WITHOUT THE NEED FOR INDIVIDUAL RECOGNITION,Rowcliffe J. Marcus; Field Juliet; Turvey Samuel T.; Carbone Chris,density,,density,,,mammals,mammals,,,no c-r,ct,England,Europe,2008,113,JOURNAL OF APPLIED ECOLOGY
14,si,"DENSITY, HABITAT USE AND ACTIVITY PATTERNS OF OCELOTS (LEOPARDUS PARDALIS) IN THE ATLANTIC FOREST OF MISIONES, ARGENTINA",Di Bitetti M. S.; Paviolo A.; De Angelo C.,density,habitat use and activity patterns,density,habitat use,MultiObj,ocelots,mammals,carnivore,,,ct,Argentina,South America,2006,100,JOURNAL OF ZOOLOGY
15,si,ASSESSING THE VIABILITY OF TIGER SUBPOPULATIONS IN A FRAGMENTED LANDSCAPE,"Linkie, M; Chapron, G; Martyr, DJ; Holden, J; Leader-Williams, N",fragmentation,,conservation,,,tiger,mammals,carnivore,,PVA,ct,Indonesia,Asia,2006,97,JOURNAL OF APPLIED ECOLOGY
16,si,A COMPARISON OF NONINVASIVE TECHNIQUES TO SURVEY CARNIVORE COMMUNITIES IN NORTHEASTERN NORTH AMERICA,"Gompper, Matthew E.; Kays, Roland W.; Ray, Justina C.; Lapoint, Scott D.; Bogan, Daniel A.; Cryan, Jason R.",methodology,,methodology,,,mammals,mammals,,,,"ct, scat, snow tracks, artificial surface",USA,North America,2006,92,WILDLIFE SOCIETY BULLETIN
17,si,ONE THOUSAND JAGUARS (PANTHERA ONCA) IN BOLIVIA'S CHACO? CAMERA TRAPPING IN THE KAA-IYA NATIONAL PARK,Maffei L; Cuellar E; Noss A,presence,abundance,abundance,,MultiObj,jaguar,mammals,carnivore,,c-r,ct,Bolivia,South America,2004,92,JOURNAL OF ZOOLOGY
18,si,ESTIMATING SITE OCCUPANCY AND DETECTION PROBABILITY PARAMETERS FOR MESO- AND LARGE MAMMALS IN A COASTAL ECOSYSTEM,O'Connell Allan F. Jr.; Talancy Neil W.; Bailey Larissa L.; Sauer John R.; Cook Robert; Gilbert Andrew T.,occupancy,,occupancy,,,mammals,mammals,,,,"ct cubby box, hairy traps",USA,North America,2006,80,JOURNAL OF WILDLIFE MANAGEMENT
19,si,"ESTIMATING PUMA DENSITIES FROM CAMERA TRAPPING ACROSS THREE STUDY SITES: BOLIVIA, ARGENTINA, AND BELIZE",Kelly Marcella J.; Noss Andrew J.; Di Bitetti Mario S.; Maffei Leonardo; Arispe Rosario L.; Paviolo Agustin; De Angelo Carlos D.; Di Blanco Yamil E.,density,,density,,,puma,mammals,carnivore,,,ct,"Bolivia, Argentina, and Belize",South America,2008,79,JOURNAL OF MAMMALOGY
20,si,ESTIMATING SNOW LEOPARD POPULATION ABUNDANCE USING PHOTOGRAPHY AND CAPTURE-RECAPTURE TECHNIQUES,Jackson Rodney M.; Roe Jerry D.; Wangchuk Rinchen; Hunter Don O.,abundance ,,abundance ,,,snow leopard,mammals,carnivore,,c-r,ct,India,Asia,2006,76,WILDLIFE SOCIETY BULLETIN
21,si,EFFECTS OF TRAPPING EFFORT AND TRAP SHYNESS ON ESTIMATES OF TIGER ABUNDANCE FROM CAMERA TRAP STUDIES,Wegge P; Pokheral CP; Jnawali SR,abundance ,,abundance ,,,tiger,mammals,carnivore,,c-r,ct,Nepal,Asia,2004,75,ANIMAL CONSERVATION
22,si,"NICHE SEPARATION BETWEEN THE MANED WOLF (CHRYSOCYON BRACHYURUS), THE CRAB-EATING FOX (DUSICYON THOUS) AND THE HOARY FOX (DUSICYON VETULUS) IN CENTRAL BRAZIL","Jacomo, ATDA; Silveira, L; Diniz, JAF",niche,,behaviour,,MultiObj,mammals,mammals,,,,ct,Brazil,South America,2004,75,JOURNAL OF ZOOLOGY
23,si,SURVEYING CARNIVORES AT LARGE SPATIAL SCALES: A COMPARISON OF FOUR BROAD-APPLIED METHODS,"Barea-Azcon, Jose Miguel; Virgos, Emilio; Ballesteros-Duperon, Elena; Moleon, Marcos; Chirosa, Manuel",methodology,,methodology,,MultiObj,carnivores,mammals,carnivore,,,"ct scat detection, scent station live trapping",Mediterranian Europe,Europe,2007,70,BIODIVERSITY AND CONSERVATION
24,si,EFFECTS OF HUMAN-CARNIVORE CONFLICT ON TIGER (PANTHERA TIGRIS) AND PREY POPULATIONS IN LAO PDR,"Johnson, A.; Vongkhamheng, C.; Hedemark, M.; Saithongdam, T.",human conflict,,conservation,,MultiObj,tiger,mammals,carnivore,,,ct,Laos,Asia,2006,67,ANIMAL CONSERVATION
25,si,"ESTIMATION OF TIGER DENSITIES IN THE TROPICAL DRY FORESTS OF PANNA, CENTRAL INDIA, USING PHOTOGRAPHIC CAPTURE-RECAPTURE SAMPLING",Karanth KU; Chundawat RS; Nichol JD; Kumar NS,density,,density,,,tiger,mammals,carnivore,,c-r,ct,India,Asia,2004,67,ANIMAL CONSERVATION
26,si,SURVEYS USING CAMERA TRAPS: ARE WE LOOKING TO A BRIGHTER FUTURE?,"Rowcliffe, J. M.; Carbone, C.",review,technic,methodology,,MultiObj,,,,,,,,,2008,65,ANIMAL CONSERVATION
27,si,THE IMPACT ON TIGERS OF POACHING VERSUS PREY DEPLETION,"Chapron, Guillaume; Miquelle, Dale G.; Lambert, Amaury; Goodrich, John M.; Legendre, Stephane; Clobert, Jean",review,prey depletion,methodology,,MultiObj,carnivore and prey,mammals,carnivore,2,,ct,Asia,Asia,2008,64,JOURNAL OF APPLIED ECOLOGY
28,si,"ESTIMATING OCCUPANCY OF A DATA DEFICIENT MAMMALIAN SPECIES LIVING IN TROPICAL RAINFORESTS: SUN BEARS IN THE KERINCI SEBLAT REGION, SUMATRA",Linkie Matthew; Dinata Yban; Nugroho Agung; Haidir Iding Achmad,presence,occupancy,presence,occupancy,MultiObj,mammals,mammals,,,occupancy,ct,Indonesia,Asia,2007,62,BIOLOGICAL CONSERVATION
29,si,OCELOT LEOPARDUS PARDALIS IN BELIZE: THE IMPACT OF TRAP SPACING AND DISTANCE MOVED ON DENSITY ESTIMATES,Dillon Adam; Kelly Marcella J.,abundance ,,density,,,ocelot,mammals,carnivore,,c-r,ct,Belize,Central America,2007,60,ORYX
30,si,"OCELOT HOME RANGE, OVERLAP AND DENSITY: COMPARING RADIO TELEMETRY WITH CAMERA TRAPPING",Dillon A.; Kelly M. J.,density,,density,,,ocelot,mammals,carnivore,,c-r,ct radio telemetry,central america,Central America,2008,56,JOURNAL OF ZOOLOGY
31,si,DISTURBANCE-MEDIATED MAMMAL PERSISTENCE AND ABUNDANCE-AREA RELATIONSHIPS IN AMAZONIAN FOREST FRAGMENTS,Michalski Fernanda; Peres Carlos A.,abundance ,fragmentation,abundance ,conservation,MultiObj,mammals,mammals,,,,ct,Brazil,South America,2007,56,CONSERVATION BIOLOGY
32,si,"CAMERA TRAPPING OF CARNIVORES: TRAP SUCCESS AMONG CAMERA TYPES AND ACROSS SPECIES, AND HABITAT SELECTION BY SPECIES, ON SALT POND MOUNTAIN, GILES COUNTY, VIRGINIA","Kelly, Marcella J.; Holub, Erika L.",review,,methodology,,,carnivore,mammals,carnivore,,,ct,USA,North America,2008,54,NORTHEASTERN NATURALIST
33,si,BEHAVIORAL RESPONSES OF BATS TO OPERATING WIND TURBINES,"Horn, Jason W.; Arnett, Edward B.; Kunz, Thomas H.",behavior,,behavior,,,bats,mammals,,,,termal infrared cameras,USA,North America,2008,52,JOURNAL OF WILDLIFE MANAGEMENT
34,si,JAGUAR (PANTHERA ONCA) FEEDING ECOLOGY: DISTRIBUTION OF PREDATOR AND PREY THROUGH TIME AND SPACE,Weckel M.; Giuliano W.; Silver S.,distribution,feeding ecology,distribution,feeding ecology,MultiObj,jaguar,mammals,carnivore,,,ct and scat,Belize,Central America,2006,50,JOURNAL OF ZOOLOGY
35,si,HOW SMALL IS TOO SMALL? CAMERA TRAP SURVEY AREAS AND DENSITY ESTIMATES FOR OCELOTS IN THE BOLIVIAN CHACO,Maffei Leonardo; Noss Andrew J.,density,,density,,,ocelots,mammals,carnivore,,c-r,ct and radiotracking,Bolivia,South America,2008,48,BIOTROPICA
36,si,"EMPTY FORESTS: LARGE CARNIVORE AND PREY ABUNDANCE IN NAMDAPHA NATIONAL PARK, NORTH-EAST INDIA",Datta Aparajita; Anand M. O.; Naniwadekar Rohit,abundance ,,abundance ,,,carnivora,mammals,carnivore,,,ct,India,Asia,2008,45,BIOLOGICAL CONSERVATION
37,si,IS CAMERA-TRAPPING AN EFFICIENT METHOD FOR SURVEYING MAMMALS IN NEOTROPICAL FORESTS? A CASE STUDY IN SOUTH-EASTERN BRAZIL,"Srbek-Araujo, AC; Chiarello, AG",methodology,richness,methodology,,MultiObj,mammals,mammals,,,,"ct live traped, transects, feaces, footprints",Brazil,South America,2005,44,JOURNAL OF TROPICAL ECOLOGY
38,si,WARINESS OF COYOTES TO CAMERA TRAPS RELATIVE TO SOCIAL STATUS AND TERRITORY BOUNDARIES,"Sequin, ES; Jaeger, MM; Brussard, PF; Barrett, RH",behavior,,behavior,,,coyote,mammals,carnivore,,,ct,USA,North America,2003,44,CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE
39,si,COMPARING METHODS FOR SAMPLING LARGE- AND MEDIUM-SIZED MAMMALS: CAMERA TRAPS AND TRACK PLOTS,"Lyra-Jorge, Maria Carolina; Ciocheti, Giordano; Pivello, Vania Regina; Meirelles, Sergio Tadeu",methodology,,methodology,,,mammals,mammals,,,Wilcoxon,ct track plots,Brazil,South America,2008,42,EUROPEAN JOURNAL OF WILDLIFE RESEARCH
40,si,JAGUAR PANTHERA ONCA POPULATION DECLINE IN THE UPPER PARANA ATLANTIC FOREST OF ARGENTINA AND BRAZIL,Paviolo Agustin; de Angelo Carlos Daniel; Di Blanco Yamil Edgardo; Di Bitetti Mario Santiago,density,,density,,,jaguar,mammals,carnivore,,,ct,Brazil,South America,2008,39,ORYX
41,si,DRAMATIC DECLINE OF WILD SOUTH CHINA TIGERS PANTHERA TIGRIS AMOYENSIS: FIELD SURVEY OF PRIORITY TIGER RESERVES,Tilson R; Defu H; Muntifering J; Nyhus PJ,rare species,,conservation,,,tiger,mammals,carnivore,,,ct,China,Asia,2004,39,ORYX
42,si,ESTIMATING BOBCAT ABUNDANCE USING AUTOMATICALLY TRIGGERED CAMERAS,Heilbrun Richard D.; Silvy Nova J.; Peterson Markus J.; Tewes Michael E.,density,,density,,,bobcats,mammals,carnivore,,,ct,USA,North America,2006,38,WILDLIFE SOCIETY BULLETIN
43,si,INDIVIDUAL LEGACY TREES INFLUENCE VERTEBRATE WILDLIFE DIVERSITY IN COMMERCIAL FORESTS,"Mazurek, MJ; Zielinski, WJ",legacy tree,,conservation,,,"mammals and birds, bats",multitaxa,,2,,ct and others,USA,North America,2004,38,FOREST ECOLOGY AND MANAGEMENT
44,si,"MAMMAL SURVEY IN THE SOUTHEASTERN PANTANAL, BRAZIL",Trolle M,richness,,presence,,,mammals,mammals,,,,ct,Brazil,South America,2003,37,BIODIVERSITY AND CONSERVATION
45,si,BALANITES WILSONIANA: REGENERATION WITH AND WITHOUT ELEPHANTS,"Babweteera, Fred; Savill, Peter; Brown, Nick",seed dispersal,,forest ecology,,,elephant,mammals,,,,ct,Uganda,Africa,2007,35,BIOLOGICAL CONSERVATION
46,si,"OCELOT (FELIS PARDALIS) POPULATION DENSITIES, ACTIVITY, AND RANGING BEHAVIOUR IN THE DRY FORESTS OF EASTERN BOLIVIA: DATA FROM CAMERA TRAPPING",Maffei L; Noss AJ; Cuellar E; Rumiz DI,density,"activity, and ranging behaviour",density ,activity pattern,MultiObj,ocelot,mammals,carnivore,,,ct,Bolivia,South America,2005,35,JOURNAL OF TROPICAL ECOLOGY
47,si,"DISPERSAL OF AGLAIA SPECTABILIS, A LARGE-SEEDED TREE SPECIES IN A MOIST EVERGREEN FOREST IN THAILAND","Kitamura, S; Suzuki, S; Yumoto, T; Poonswad, P; Chuailua, P; Plongmai, K; Noma, N; Maruhashi, T; Suckasam, C",seed dispersal,,forest ecology,,,mammals and birds,multitaxa,,2,,,Thailand,Asia,2004,34,JOURNAL OF TROPICAL ECOLOGY
48,si,"CARNIVORE MAMMALS IN A FRAGMENTED LANDSCAPE IN NORTHEAST OF SAO PAULO STATE, BRAZIL",Lyra-Jorge Maria Carolina; Ciocheti Giordano; Pivello Vania Regina,richness,fragmentation,conservation,,MultiObj,carnivore,mammals,carnivore,,,ct,Brazil,South America,2008,33,BIODIVERSITY AND CONSERVATION
